iter	Logloss
0	0.690055805
1	0.6871124759
2	0.684437671
3	0.6817729527
4	0.6793731926
5	0.6770575863
6	0.6748153835
7	0.6726815435
8	0.6705959538
9	0.6687093821
10	0.667057452
11	0.6655215995
12	0.6639234114
13	0.6623553303
14	0.6610860758
15	0.6597757659
16	0.6585280825
17	0.6573853357
18	0.6561473378
19	0.6549821179
20	0.6539435715
21	0.6528825771
22	0.6519153926
23	0.6509896406
24	0.6501793173
25	0.6492278782
26	0.6483699527
27	0.6476469661
28	0.6468699166
29	0.6461872786
30	0.645519288
31	0.6448392123
32	0.6441107864
33	0.6435385934
34	0.642978608
35	0.6423736289
36	0.6417777364
37	0.6412067741
38	0.6406440899
39	0.640109534
40	0.6396540348
41	0.6392356969
42	0.6386769787
43	0.6382460767
44	0.6377906366
45	0.6373437624
46	0.6369029496
47	0.6365614815
48	0.6361481671
49	0.6357997004
50	0.6354744912
51	0.6350804433
52	0.6346542198
53	0.6343504442
54	0.634016476
55	0.6336955654
56	0.6334590065
57	0.6331575151
58	0.6329061961
59	0.6326536067
60	0.6324381873
61	0.6320797924
62	0.6317497676
63	0.6313884802
64	0.6311456757
65	0.6308791733
66	0.6306425298
67	0.6303945668
68	0.630102614
69	0.6299050481
70	0.6296936056
71	0.629493579
72	0.6292887415
73	0.6290589247
74	0.6288826133
75	0.6286865469
76	0.6285264311
77	0.6282896148
78	0.6280365266
79	0.6278229726
80	0.6275313318
81	0.6273724445
82	0.6272236045
83	0.6270486606
84	0.6269236485
85	0.626634343
86	0.6264926822
87	0.6262667383
88	0.6260795743
89	0.6258888781
90	0.6257555989
91	0.6255755606
92	0.6254104836
93	0.6251809681
94	0.6250847594
95	0.6249628154
96	0.6248009738
97	0.6246429409
98	0.6244838736
99	0.6244260458
100	0.6241718488
101	0.6240053917
102	0.623888514
103	0.6237563585
104	0.6236342833
105	0.6233908968
106	0.6232188696
107	0.6230877276
108	0.6229031948
109	0.6227463823
110	0.6225594946
111	0.6223919881
112	0.6222017328
113	0.6220886052
114	0.621899622
115	0.6217336427
116	0.6216311406
