iter	Passed	Remaining
140	9830	59888
141	9872	59649
142	9914	59419
143	9956	59186
144	10000	58971
145	10042	58742
146	10096	58588
147	10141	58380
148	10190	58201
149	10238	58020
150	10285	57829
151	10331	57640
152	10381	57470
153	10430	57301
154	10475	57110
155	10519	56915
156	10566	56736
157	10610	56545
158	10652	56345
159	10697	56162
160	10746	56003
161	10789	55812
162	10833	55631
163	10876	55444
164	10920	55262
165	10962	55078
166	11005	54896
167	11056	54756
168	11146	54811
169	11256	54959
170	11361	55078
171	11438	55065
172	11490	54930
173	11541	54789
174	11594	54659
175	11654	54564
176	11707	54438
177	11760	54308
178	11814	54187
179	11857	54019
180	11904	53865
181	11950	53713
182	11998	53566
183	12040	53396
184	12082	53229
185	12127	53072
186	12178	52947
187	12252	52921
188	12384	53139
189	12502	53301
190	12625	53477
191	12717	53517
192	12813	53579
193	12911	53644
194	12987	53613
195	13062	53584
196	13137	53548
197	13227	53578
198	13296	53520
199	13350	53401
200	13401	53272
201	13452	53143
202	13505	53025
203	13556	52895
204	13633	52869
205	13771	53081
206	13833	52996
207	13883	52865
208	13933	52734
209	13988	52624
210	14041	52506
211	14094	52389
212	14147	52271
213	14200	52157
214	14282	52148
215	14336	52037
216	14398	51955
217	14464	51885
218	14512	51754
219	14557	51611
220	14600	51464
221	14643	51319
222	14694	51198
223	14747	51090
224	14810	51014
225	14867	50916
226	14919	50803
227	14971	50693
228	15018	50565
229	15066	50439
230	15114	50316
231	15163	50195
232	15207	50059
233	15252	49929
234	15294	49787
235	15373	49767
236	15440	49709
237	15497	49618
238	15560	49544
239	15608	49426
240	15662	49326
241	15715	49224
242	15777	49151
243	15832	49054
244	15978	49239
245	16087	49307
246	16187	49347
247	16274	49347
248	16333	49262
249	16383	49151
250	16428	49024
251	16476	48906
252	16535	48822
253	16579	48693
254	16624	48570
255	16668	48444
256	16713	48321
257	16759	48198
258	16806	48082
259	16854	47970
260	16899	47850
261	16941	47721
262	16987	47603
263	17038	47501
264	17088	47397
265	17134	47280
266	17178	47160
267	17224	47045
268	17281	46962
269	17343	46890
270	17399	46806
271	17448	46699
272	17515	46644
273	17562	46533
274	17606	46417
275	17661	46328
276	17743	46313
277	17798	46224
278	17848	46123
279	17918	46075
280	18030	46133
281	18112	46115
282	18211	46139
283	18296	46128
284	18386	46127
285	18473	46118
286	18535	46048
287	18602	45990
288	18660	45908
289	18704	45792
290	18745	45672
291	18789	45558
292	18832	45442
293	18877	45332
294	18922	45222
295	18977	45136
296	19026	45035
297	19070	44924
298	19117	44821
299	19167	44724
300	19215	44623
301	19264	44524
302	19314	44428
303	19365	44336
304	19415	44241
305	19593	44437
306	19721	44517
307	19848	44593
308	19974	44667
309	20103	44745
310	20213	44781
311	20310	44786
312	20437	44857
313	20493	44772
314	20549	44686
315	20636	44669
316	20701	44602
317	20763	44530
318	20825	44458
319	20887	44386
320	20978	44376
321	21044	44311
322	21119	44265
323	21187	44206
324	21279	44195
325	21336	44112
326	21411	44067
327	21552	44155
328	21607	44069
329	21655	43967
330	21700	43859
331	21748	43758
332	21797	43659
333	21888	43646
334	21940	43554
335	21993	43462
336	22044	43369
337	22112	43308
338	22162	43212
339	22217	43127
340	22275	43048
341	22324	42952
342	22379	42866
343	22432	42778
344	22480	42680
345	22531	42587
346	22573	42479
347	22622	42384
348	22687	42318
349	22774	42295
350	22824	42203
351	22872	42107
352	22925	42019
353	22974	41925
354	23019	41824
355	23062	41720
356	23106	41617
357	23169	41550
358	23218	41457
359	23275	41378
360	23330	41296
361	23385	41215
362	23429	41114
363	23474	41015
364	23517	40913
365	23563	40817
366	23610	40723
367	23661	40635
368	23717	40556
369	23770	40474
370	23827	40397
371	23881	40315
372	23940	40242
373	23991	40156
374	24042	40070
375	24089	39978
376	24138	39889
377	24186	39798
378	24232	39704
379	24279	39613
380	24322	39516
381	24381	39444
382	24467	39416
383	24568	39411
384	24649	39375
385	24751	39372
386	24858	39375
387	24942	39341
388	25017	39294
389	25105	39267
390	25186	39229
391	25276	39204
392	25368	39182
393	25478	39188
394	25583	39184
395	25683	39174
396	25772	39145
397	25872	39133
398	25972	39122
399	26055	39083
400	26137	39043
401	26217	39000
402	26296	38954
403	26384	38923
404	26463	38878
405	26549	38843
406	26627	38796
407	26711	38757
408	26793	38716
409	26871	38668
410	26954	38627
411	27037	38587
412	27125	38553
413	27203	38506
414	27283	38460
415	27356	38404
416	27430	38349
417	27502	38293
418	27578	38241
419	27656	38192
420	27737	38147
421	27811	38092
422	27894	38050
423	27991	38026
424	28076	37986
425	28159	37942
426	28212	37859
427	28260	37768
428	28307	37677
429	28353	37585
430	28398	37490
431	28444	37398
432	28488	37304
433	28537	37216
434	28578	37118
435	28622	37025
436	28672	36939
437	28741	36878
438	28839	36854
439	28924	36813
440	28980	36735
441	29040	36661
442	29099	36587
443	29149	36502
444	29201	36419
445	29252	36336
446	29302	36250
447	29346	36158
448	29389	36065
449	29431	35971
450	29473	35878
451	29524	35795
452	29575	35713
453	29628	35631
454	29672	35541
455	29719	35454
456	29767	35368
457	29810	35277
458	29867	35203
459	29913	35115
460	29967	35038
461	30011	34948
462	30052	34856
463	30108	34780
464	30173	34715
465	30225	34635
466	30284	34564
467	30343	34493
468	30395	34413
469	30449	34336
470	30577	34343
471	30693	34335
472	30808	34326
473	30919	34311
474	31010	34275
475	31070	34203
476	31123	34125
477	31181	34051
478	31233	33972
479	31284	33891
480	31334	33809
481	31382	33726
482	31430	33643
483	31492	33575
484	31562	33514
485	31606	33427
486	31652	33342
487	31695	33254
488	31742	33170
489	31787	33084
490	31838	33005
491	31934	32973
492	31988	32897
493	32035	32813
494	32080	32728
495	32127	32645
496	32175	32564
497	32225	32484
498	32271	32400
499	32326	32326
500	32374	32245
501	32431	32172
502	32484	32096
503	32531	32015
504	32579	31934
505	32632	31858
506	32680	31777
507	32732	31701
508	32783	31624
509	32837	31550
510	32883	31467
511	32929	31386
512	32977	31305
513	33019	31220
514	33059	31133
515	33101	31048
516	33143	30963
517	33186	30880
518	33229	30796
519	33272	30713
520	33316	30630
521	33360	30548
522	33407	30469
523	33450	30386
524	33491	30301
525	33533	30218
526	33574	30134
527	33618	30052
528	33660	29969
529	33715	29898
530	33784	29839
531	33832	29762
532	33875	29680
533	33920	29601
534	33965	29521
535	34014	29445
536	34066	29372
537	34124	29304
538	34181	29235
539	34238	29165
540	34291	29093
541	34347	29024
542	34406	28957
543	34460	28886
544	34521	28820
545	34574	28749
546	34626	28676
547	34683	28607
548	34738	28537
549	34790	28464
550	34845	28395
551	34895	28321
552	34974	28270
553	35097	28255
554	35173	28201
555	35236	28138
556	35330	28099
557	35409	28048
558	35738	28194
559	35855	28172
560	35982	28157
561	36097	28133
562	36211	28107
563	36268	28037
564	36363	27996
565	36416	27923
566	36485	27862
567	36532	27785
568	36581	27709
569	36655	27652
570	36721	27589
571	36786	27525
572	36845	27457
573	36894	27381
574	36936	27301
575	36984	27224
576	37029	27146
577	37078	27071
578	37136	27002
579	37189	26930
580	37241	26857
581	37287	26780
582	37331	26702
583	37378	26625
584	37442	26562
585	37490	26486
586	37538	26411
587	37609	26352
588	37663	26281
589	37707	26203
590	37756	26129
591	37805	26055
592	37847	25976
593	37893	25900
594	37953	25833
595	37998	25757
596	38048	25684
597	38116	25623
598	38168	25551
599	38215	25476
600	38260	25400
601	38307	25326
602	38354	25251
603	38401	25176
604	38450	25103
605	38498	25030
606	38543	24954
607	38589	24880
608	38634	24804
609	38676	24727
610	38720	24651
611	38768	24578
612	38813	24503
613	38865	24433
614	38920	24364
615	38972	24294
616	39043	24235
617	39094	24165
618	39138	24089
619	39183	24015
620	39227	23940
621	39269	23864
622	39333	23802
623	39394	23737
624	39443	23665
625	39538	23621
626	39621	23570
627	39689	23510
628	39773	23459
629	39838	23396
630	39895	23330
631	39954	23264
632	40015	23200
633	40066	23129
634	40113	23057
635	40161	22985
636	40210	22914
637	40258	22842
638	40307	22771
639	40353	22698
640	40399	22625
641	40448	22555
642	40503	22488
643	40580	22432
644	40667	22382
645	40719	22313
646	40769	22243
647	40824	22176
648	40877	22107
649	40946	22048
650	41105	22036
651	41193	21986
652	41325	21959
653	41389	21897
654	41461	21838
655	41516	21770
656	41611	21724
657	41680	21663
658	41745	21601
659	41802	21534
660	41862	21469
661	41919	21403
662	41976	21336
663	42038	21272
664	42087	21202
665	42147	21136
666	42205	21071
667	42269	21008
668	42335	20946
669	42392	20880
670	42451	20814
671	42502	20745
672	42562	20680
673	42627	20618
674	42687	20553
675	42757	20493
676	42823	20431
677	42891	20370
678	42948	20304
679	43006	20238
680	43071	20175
681	43125	20108
682	43188	20045
683	43244	19978
684	43301	19912
685	43358	19846
686	43415	19780
687	43621	19781
688	43690	19720
689	43755	19658
690	43827	19598
691	43924	19550
692	43985	19485
693	44042	19419
694	44095	19351
695	44147	19282
696	44195	19212
697	44245	19143
698	44295	19074
699	44345	19005
700	44391	18934
701	44437	18863
702	44484	18793
703	44536	18725
704	44584	18655
705	44640	18589
706	44691	18521
707	44742	18453
708	44793	18385
709	44845	18317
710	44895	18248
711	44946	18180
712	44996	18112
713	45049	18044
714	45097	17975
715	45146	17907
716	45194	17838
717	45242	17769
718	45293	17701
719	45339	17632
720	45386	17562
721	45434	17494
722	45481	17425
723	45530	17357
724	45580	17289
725	45632	17222
726	45681	17154
727	45729	17085
728	45778	17017
729	45826	16949
730	45874	16881
731	45919	16812
732	45964	16743
733	46012	16674
734	46059	16606
735	46106	16538
736	46153	16470
737	46200	16401
738	46247	16333
739	46295	16266
740	46342	16197
741	46388	16129
742	46436	16062
743	46486	15995
744	46539	15929
745	46596	15865
746	46649	15799
747	46697	15732
748	46745	15665
749	46794	15598
750	46843	15531
751	46954	15484
752	47013	15421
753	47060	15353
754	47112	15288
755	47162	15221
756	47211	15155
757	47267	15090
758	47322	15025
759	47377	14961
760	47440	14899
761	47487	14832
762	47537	14765
763	47586	14699
764	47635	14633
765	47685	14567
766	47734	14500
767	47785	14435
768	47836	14369
769	47885	14303
770	47933	14237
771	47982	14170
772	48029	14104
773	48081	14039
774	48130	13973
775	48178	13907
776	48231	13842
777	48276	13775
778	48321	13708
779	48365	13641
780	48406	13573
781	48446	13505
782	48486	13437
783	48528	13370
784	48569	13302
785	48610	13234
786	48649	13166
787	48690	13099
788	48731	13032
789	48777	12966
790	48821	12899
791	48863	12832
792	48904	12765
793	48946	12698
794	48985	12631
795	49027	12564
796	49070	12498
797	49111	12431
798	49151	12364
799	49191	12297
800	49232	12231
801	49274	12165
802	49316	12098
803	49361	12033
804	49402	11967
805	49446	11901
806	49487	11835
807	49528	11769
808	49573	11703
809	49613	11637
810	49655	11572
811	49696	11506
812	49736	11440
813	49778	11374
814	49820	11309
815	49863	11243
816	49904	11178
817	49943	11112
818	49986	11046
819	50026	10981
820	50077	10918
821	50122	10853
822	50164	10788
823	50205	10723
824	50245	10658
825	50288	10593
826	50331	10528
827	50375	10464
828	50416	10399
829	50457	10334
830	50498	10269
831	50538	10204
832	50579	10140
833	50621	10075
834	50662	10011
835	50703	9946
836	50744	9882
837	50787	9818
838	50830	9754
839	50873	9690
840	50918	9626
841	50961	9562
842	51002	9498
843	51042	9434
844	51085	9370
845	51125	9306
846	51166	9242
847	51206	9178
848	51246	9114
849	51291	9051
850	51337	8988
851	51378	8924
852	51420	8861
853	51462	8797
854	51504	8734
855	51551	8672
856	51595	8609
857	51657	8549
858	51709	8487
859	51749	8424
860	51792	8361
861	51837	8298
862	51878	8235
863	51919	8172
864	51963	8109
865	52004	8046
866	52046	7984
867	52087	7921
868	52128	7858
869	52168	7795
870	52208	7732
871	52248	7669
872	52292	7607
873	52336	7545
874	52378	7482
875	52419	7420
876	52461	7357
877	52502	7295
878	52546	7233
879	52591	7171
880	52633	7109
881	52674	7047
882	52716	6985
883	52758	6923
884	52803	6861
885	52846	6799
886	52890	6737
887	52931	6676
888	52973	6614
889	53013	6552
890	53053	6490
891	53095	6428
892	53137	6366
893	53180	6305
894	53219	6243
895	53261	6182
896	53305	6120
897	53347	6059
898	53390	5998
899	53432	5936
900	53473	5875
901	53515	5814
902	53557	5753
903	53598	5691
904	53640	5630
905	53682	5569
906	53721	5508
907	53765	5447
908	53806	5386
909	53850	5325
910	53891	5264
911	53932	5204
912	53973	5143
913	54015	5082
914	54062	5022
915	54105	4961
916	54147	4900
917	54187	4840
918	54227	4779
919	54268	4719
920	54312	4658
921	54356	4598
922	54396	4537
923	54436	4477
924	54477	4417
925	54517	4356
926	54559	4296
927	54598	4236
928	54640	4175
929	54681	4115
930	54721	4055
931	54763	3995
932	54805	3935
933	54847	3875
934	54888	3815
935	54931	3755
936	54971	3696
937	55013	3636
938	55056	3576
939	55103	3517
940	55147	3457
941	55200	3398
942	55247	3339
943	55295	3280
944	55344	3221
945	55392	3161
946	55439	3102
947	55483	3043
948	55531	2984
949	55575	2925
950	55623	2865
951	55672	2807
952	55718	2747
953	55763	2688
954	55812	2629
955	55861	2571
956	55913	2512
957	55963	2453
958	56010	2394
959	56055	2335
960	56099	2276
961	56146	2217
962	56192	2159
963	56238	2100
964	56284	2041
965	56335	1982
966	56387	1924
967	56432	1865
968	56478	1806
969	56528	1748
970	56572	1689
971	56612	1630
972	56655	1572
973	56697	1513
974	56737	1454
975	56781	1396
976	56824	1337
977	56869	1279
978	56910	1220
979	56950	1162
980	56991	1103
981	57032	1045
982	57072	987
983	57114	928
984	57154	870
985	57196	812
986	57239	753
987	57280	695
988	57322	637
989	57365	579
990	57406	521
991	57447	463
992	57488	405
993	57530	347
994	57571	289
995	57612	231
996	57654	173
997	57694	115
998	57734	57
999	57775	0
